TotalCases,TotalDeaths,POPEST_2018_B_U18,POPEST_2018_B_18TO64,POPEST_2018_B_65PLUS,POPEST_2018_B_85PLUS,UNEMPLOYED,VETPOP_2019_65TO84,VETPOP_2019_85PLUS,VETPOP_2019_TOTAL,HOUSEHOLD_SIZE,HOUSING_UNITS,AREA_TOTAL,AREA_WATER,PER_AREA_WATER,DENSITY_POP,DENSITY_HOUSE,PER_OBESITY,PER_DIABETES,OVERCROWDING,PER_DRIVE_ALONE,PER_RURAL,POP_RURAL,PER_UNINSURED,PER_CHILD,PER_ADULT,PER_65PLUS,PER_85PLUS,MED_INCOME_2018,PER_COLLEGE_EDU,INCOME_RATIO,PER_UNEMPLOYED
2280,19,10295,28733,14026,1375,779,2732.262554,457.3783472,4947.48858,2.53,21725,247.37,18.15,0.073371872,211.8,94.8,0.29,0.167,2.243270189,0.835003703,0.406129006,19720,0.127782251,0.194047574,0.541580277,0.264372149,0.02591699,56078,0.480787612,3.903458878,0.027111683
1840,28,5987,14464,3814,359,353,600.6567083,101.873591,1370.212916,2.51,9861,307.24,0.1,0.000325478,72.4,32.1,0.346,0.181,1.615598886,0.821483064,0.795711974,17703,0.133126625,0.246733979,0.596084896,0.157181125,0.014794972,36246,0.429657795,4.389180133,0.02440542
5349,110,21872,59118,16615,1966,1832,2353.016738,437.6701698,6234.955169,2.49,41877,558.63,1.51,0.002703041,176.4,75.2,0.387,0.139,1.048668997,0.845116517,0.258266018,25386,0.096069475,0.224086881,0.605686184,0.170226935,0.020142411,46223,0.583723106,4.960685484,0.03098887
1098,19,6013,16825,5737,551,575,1045.579103,112.3540781,2122.810832,2.43,12954,512.25,14.09,0.027506101,56.7,26,0.305,0.2,2.174688057,0.860103203,0.77015972,21747,0.113061117,0.210428696,0.5888014,0.200769904,0.01928259,48024,0.521118382,4.956250708,0.034175334
1744,20,7899,20354,5430,555,528,830.5615698,131.4032133,2111.715281,2.58,13119,376.16,0.7,0.00186091,81.5,34.9,0.379,0.114,2.02573682,0.881699346,0.658229088,20153,0.105671794,0.23450999,0.604281091,0.161208918,0.016477155,49370,0.449993909,3.897547452,0.025940847
5842,67,22094,57232,15014,1501,1536,2122.272382,476.5688714,5764.309941,2.64,35254,615.58,2.44,0.003963742,132,57.5,0.325,0.105,2.447552448,0.863454396,0.415929641,33672,0.106600101,0.234195463,0.606656773,0.159147763,0.015910536,54249,0.60695255,4.078821333,0.026838133
2523,55,11306,31521,10458,1164,928,1772.423751,249.9839525,3945.9853,2.53,23341,432.18,2.06,0.004766532,121.5,54.3,0.337,0.113,1.648763427,0.854513754,0.603413309,31538,0.121620974,0.212179788,0.591554847,0.196265365,0.021844797,41398,0.466505636,5.175871117,0.02944069
1402,33,5636,14826,5370,504,457,872.8219523,174.1004681,1906.595352,2.55,11933,563.61,0.75,0.001330707,46.3,21.2,0.303,0.154,2.032520325,0.878043455,0.852732502,22235,0.113753371,0.218179003,0.5739393,0.207881697,0.019510684,36055,0.474762873,4.64870434,0.030824228
489,13,2512,7182,2612,204,228,502.8731447,35.15162789,969.7184542,2.47,5628,216.75,21.63,0.099792388,60.2,28.8,0.354,0.158,2.759358289,0.861034799,1,11753,0.12482722,0.204128068,0.583617747,0.212254185,0.016577279,43250,0.428788454,4.556374513,0.031746032
2127,44,9768,26771,9818,868,740,1972.072644,208.4854928,3686.652063,2.56,20787,652.56,16.99,0.02603592,70,32.7,0.327,0.112,2.397458117,0.854174174,0.760753835,33868,0.119880037,0.210712514,0.577496387,0.2117911,0.018724249,38327,0.392687421,4.655094732,0.027641851
6586,83,54985,131960,19005,1739,3187,5720.737149,459.5031808,36873.19286,2.74,70098,543.83,4.65,0.008550466,319.6,130,0.343,0.11,2.481740945,0.86478458,0.197422402,34022,0.088317662,0.266982277,0.640738043,0.09227968,0.008443797,55972,0.700255923,3.841111452,0.024151258
396,3,1214,3818,1379,165,107,238.5955439,32.64503521,515.9176175,2.4,2915,130.42,1.19,0.009124367,49.2,22.6,0.249,0.136,2.1484375,0.895120175,0.998742534,6354,0.095123901,0.189362034,0.595538917,0.215099049,0.025737015,52294,0.530627306,4.855214457,0.028025144
730,6,4141,13602,3836,366,351,759.4635675,167.7856807,1695.577267,2.5,8920,522.49,0.31,0.000593313,42.1,17.1,0.361,0.208,3.393351801,0.823044097,0.998862965,21962,0.125727214,0.191899532,0.630335048,0.17776542,0.016960934,40166,0.319020463,4.639591553,0.025805029
